Date,Time,Character Name,Race,Ork Leader,Trolls Killed,Orks Killed,Miles Walked,Wingwraith Seen, Songs Sung, Dinner, Drink, data point, injured name , injured race, money, data
2/20/2015,8:33:38,Legolas,Elf,Shagrat,12,7,2,8,5,Lembas,Limpë,Point 000427,Gimli,Dwarf,81.61,427
2/20/2015,13:31:9,Gimli,Dwarf,Sharku,4,1,2,2,8,Petty-dwarf roots,Ent-draught,Point 000428,Gimli,Dwarf,27.27,428
2/20/2015,10:36:8,Aragorn (Strider),Human,Lurtz,2,14,2,3,8,Petty-dwarf roots,Ent-draught,Point 000429,Gimli,Dwarf,90.22,429
2/20/2015,10:14:3,Boromir, Human,Mauhúr,10,12,2,4,1,Honey-cake,Ent-draught,Point 000430,Gimli,Dwarf,33.25,430
2/20/2015,16:28:21,Meriadoc "Merry" Brandybuck,Hobbit,Lugdush,12,2,2,8,4,Lembas,Ent-draught,Point 000431,Gimli,Dwarf,54.17,431
2/20/2015,19:9:49,Peregrin "Pippin" Took,Hobbit,Lugdush,0,11,2,7,9,Lembas,Limpë,Point 000432,Gimli,Dwarf,5.45,432
2/21/2015,19:32:20,Frodo Baggins,Hobbit,Mauhúr,11,7,4,5,9,Lembas,Limpë,Point 000433,Legolas,Elf,49.3,433
2/21/2015,12:33:22,Samwise "Sam" Gamgee,Hobbit,Snaga,2,7,4,2,5,Petty-dwarf roots,Limpë,Point 000434,Legolas,Elf,98.23,434
2/21/2015,19:40:40,Gandalf the Grey,Human,Murgash,13,0,4,6,3,Honey-cake,Ent-draught,Point 000435,Legolas,Elf,75.11,435
2/21/2015,0:13:4,Legolas,Elf,Lugdush,6,13,4,5,4,Petty-dwarf roots,Miruvor,Point 000436,Legolas,Elf,99.13,436
2/21/2015,16:44:34,Gimli,Dwarf,Mauhúr,10,3,4,7,0,Honey-cake,Miruvor,Point 000437,Legolas,Elf,26.27,437
2/21/2015,6:19:37,Aragorn (Strider),Human,Snaga,7,8,4,3,4,Petty-dwarf roots,Ent-draught,Point 000438,Legolas,Elf,73.5,438
2/21/2015,1:41:22,Boromir, Human,Murgash,10,5,4,5,8,Petty-dwarf roots,Ent-draught,Point 000439,Legolas,Elf,61.04,439
2/21/2015,10:35:26,Meriadoc "Merry" Brandybuck,Hobbit,Sharku,8,10,4,7,6,Honey-cake,Miruvor,Point 000440,Legolas,Elf,31.52,440
2/21/2015,7:54:19,Peregrin "Pippin" Took,Hobbit,Gothmog,13,5,4,0,5,Cram,Ent-draught,Point 000441,Legolas,Elf,68.79,441
2/22/2015,17:39:41,Frodo Baggins,Hobbit,Lurtz,3,7,3,3,7,Cram,Limpë,Point 000442,Samwise "Sam" Gamgee,Hobbit,26.14,442
2/22/2015,10:25:21,Samwise "Sam" Gamgee,Hobbit,Lurtz,5,7,3,3,9,Lembas,Ent-draught,Point 000443,Samwise "Sam" Gamgee,Hobbit,67.09,443
2/22/2015,18:13:32,Gandalf the Grey,Human,Guritz,14,6,3,3,0,Cram,Ent-draught,Point 000444,Samwise "Sam" Gamgee,Hobbit,34.33,444
2/22/2015,10:50:3,Legolas,Elf,Guritz,8,9,3,2,0,Honey-cake,Miruvor,Point 000445,Samwise "Sam" Gamgee,Hobbit,21.58,445
2/22/2015,13:56:9,Gimli,Dwarf,Gothmog,11,8,3,5,8,Petty-dwarf roots,Miruvor,Point 000446,Samwise "Sam" Gamgee,Hobbit,88.81,446
2/22/2015,7:13:45,Aragorn (Strider),Human,Lugdush,9,11,3,6,4,Lembas,Miruvor,Point 000447,Samwise "Sam" Gamgee,Hobbit,49.35,447
2/22/2015,9:12:52,Boromir, Human,Lurtz,5,9,3,5,7,Petty-dwarf roots,Miruvor,Point 000448,Samwise "Sam" Gamgee,Hobbit,29.03,448
2/22/2015,20:8:41,Meriadoc "Merry" Brandybuck,Hobbit,Gorbag,12,1,3,6,4,Honey-cake,Miruvor,Point 000449,Samwise "Sam" Gamgee,Hobbit,10.09,449
2/22/2015,7:28:7,Peregrin "Pippin" Took,Hobbit,Shagrat,9,12,3,5,8,Petty-dwarf roots,Limpë,Point 000450,Samwise "Sam" Gamgee,Hobbit,37.55,450
2/23/2015,21:13:39,Frodo Baggins,Hobbit,Lugdush,14,5,3,4,6,Petty-dwarf roots,Miruvor,Point 000451,Aragorn (Strider),Human,65.62,451
2/23/2015,5:20:54,Samwise "Sam" Gamgee,Hobbit,Mauhúr,3,6,3,4,1,Cram,Limpë,Point 000452,Aragorn (Strider),Human,1.44,452
2/23/2015,4:8:6,Gandalf the Grey,Human,Shagrat,9,3,3,8,4,Petty-dwarf roots,Ent-draught,Point 000453,Aragorn (Strider),Human,92.15,453
2/23/2015,7:40:28,Legolas,Elf,Lugdush,1,0,3,1,4,Petty-dwarf roots,Limpë,Point 000454,Aragorn (Strider),Human,52.28,454
2/23/2015,2:3:8,Gimli,Dwarf,Shagrat,10,5,3,5,2,Lembas,Miruvor,Point 000455,Aragorn (Strider),Human,23.68,455
2/23/2015,3:18:16,Aragorn (Strider),Human,Grishnákh,4,7,3,5,2,Cram,Ent-draught,Point 000456,Aragorn (Strider),Human,91.32,456
2/23/2015,16:41:39,Boromir, Human,Shagrat,12,7,3,3,3,Cram,Miruvor,Point 000457,Aragorn (Strider),Human,31.88,457
2/23/2015,10:58:58,Meriadoc "Merry" Brandybuck,Hobbit,Mauhúr,7,10,3,8,2,Petty-dwarf roots,Limpë,Point 000458,Aragorn (Strider),Human,44.55,458
2/23/2015,20:33:51,Peregrin "Pippin" Took,Hobbit,Gorbag,8,3,3,6,7,Honey-cake,Ent-draught,Point 000459,Aragorn (Strider),Human,28.84,459
2/24/2015,4:45:20,Frodo Baggins,Hobbit,Murgash,14,11,3,4,9,Honey-cake,Limpë,Point 000460,Frodo Baggins,Hobbit,68.1,460
2/24/2015,6:41:31,Samwise "Sam" Gamgee,Hobbit,Mauhúr,1,13,3,6,4,Cram,Miruvor,Point 000461,Frodo Baggins,Hobbit,13.45,461
2/24/2015,14:24:3,Gandalf the Grey,Human,Gothmog,14,1,3,5,6,Lembas,Ent-draught,Point 000462,Frodo Baggins,Hobbit,57.62,462
2/24/2015,21:53:57,Legolas,Elf,Sharku,3,0,3,6,6,Petty-dwarf roots,Miruvor,Point 000463,Frodo Baggins,Hobbit,64.16,463
2/24/2015,9:16:54,Gimli,Dwarf,Grishnákh,14,12,3,2,6,Honey-cake,Miruvor,Point 000464,Frodo Baggins,Hobbit,21.44,464
2/24/2015,19:49:26,Aragorn (Strider),Human,Shagrat,9,13,3,2,7,Cram,Ent-draught,Point 000465,Frodo Baggins,Hobbit,32.5,465
2/24/2015,21:42:31,Boromir, Human,Gorbag,9,0,3,7,7,Petty-dwarf roots,Miruvor,Point 000466,Frodo Baggins,Hobbit,82.12,466
2/24/2015,22:20:42,Meriadoc "Merry" Brandybuck,Hobbit,Sharku,2,3,3,7,2,Lembas,Limpë,Point 000467,Frodo Baggins,Hobbit,71.21,467
2/24/2015,20:0:25,Peregrin "Pippin" Took,Hobbit,Sharku,14,11,3,2,3,Honey-cake,Miruvor,Point 000468,Frodo Baggins,Hobbit,8.52,468
2/25/2015,4:6:20,Frodo Baggins,Hobbit,Snaga,11,12,3,0,8,Lembas,Miruvor,Point 000469,Frodo Baggins,Hobbit,73.37,469
2/25/2015,1:33:11,Samwise "Sam" Gamgee,Hobbit,Mauhúr,6,2,3,2,2,Lembas,Ent-draught,Point 000470,Frodo Baggins,Hobbit,51.79,470
2/25/2015,13:1:9,Gandalf the Grey,Human,Shagrat,8,11,3,8,1,Lembas,Miruvor,Point 000471,Frodo Baggins,Hobbit,75.11,471
2/25/2015,22:30:37,Legolas,Elf,Grishnákh,5,11,3,1,9,Honey-cake,Miruvor,Point 000472,Frodo Baggins,Hobbit,47.67,472
2/25/2015,10:26:16,Gimli,Dwarf,Snaga,0,5,3,6,8,Cram,Miruvor,Point 000473,Frodo Baggins,Hobbit,43.76,473
2/25/2015,5:38:1,Aragorn (Strider),Human,Murgash,3,13,3,0,4,Cram,Miruvor,Point 000474,Frodo Baggins,Hobbit,72.25,474
2/25/2015,11:18:49,Boromir, Human,Gorbag,1,4,3,7,1,Lembas,Ent-draught,Point 000475,Frodo Baggins,Hobbit,43.91,475
2/25/2015,9:46:43,Meriadoc "Merry" Brandybuck,Hobbit,Snaga,0,1,3,4,5,Cram,Limpë,Point 000476,Frodo Baggins,Hobbit,54.11,476
2/25/2015,3:33:4,Peregrin "Pippin" Took,Hobbit,Lugdush,3,0,3,7,1,Honey-cake,Miruvor,Point 000477,Frodo Baggins,Hobbit,35.26,477
2/26/2015,15:55:45,Frodo Baggins,Hobbit,Lurtz,10,6,1,2,1,Honey-cake,Ent-draught,Point 000478,Aragorn (Strider),Human,76.08,478
2/26/2015,1:55:39,Samwise "Sam" Gamgee,Hobbit,Gorbag,8,9,1,3,3,Cram,Ent-draught,Point 000479,Aragorn (Strider),Human,14.8,479
2/26/2015,19:18:11,Gandalf the Grey,Human,Gorbag,2,3,1,6,1,Petty-dwarf roots,Miruvor,Point 000480,Aragorn (Strider),Human,72.35,480
2/26/2015,19:51:44,Legolas,Elf,Gorbag,2,6,1,5,7,Petty-dwarf roots,Miruvor,Point 000481,Aragorn (Strider),Human,62.07,481
2/26/2015,0:13:25,Gimli,Dwarf,Guritz,1,13,1,6,6,Petty-dwarf roots,Limpë,Point 000482,Aragorn (Strider),Human,41.04,482
2/26/2015,22:4:3,Aragorn (Strider),Human,Murgash,10,8,1,5,2,Honey-cake,Miruvor,Point 000483,Aragorn (Strider),Human,69.33,483
2/26/2015,17:52:39,Boromir, Human,Lugdush,14,3,1,1,6,Lembas,Limpë,Point 000484,Aragorn (Strider),Human,82.84,484
2/26/2015,2:34:15,Meriadoc "Merry" Brandybuck,Hobbit,Mauhúr,2,2,1,5,3,Cram,Miruvor,Point 000485,Aragorn (Strider),Human,77.79,485
2/26/2015,19:32:57,Peregrin "Pippin" Took,Hobbit,Mauhúr,10,8,1,0,1,Petty-dwarf roots,Limpë,Point 000486,Aragorn (Strider),Human,45.61,486
2/27/2015,17:55:35,Frodo Baggins,Hobbit,Mauhúr,1,10,4,1,1,Lembas,Limpë,Point 000487,Samwise "Sam" Gamgee,Hobbit,66.86,487
2/27/2015,19:54:0,Samwise "Sam" Gamgee,Hobbit,Mauhúr,14,6,4,4,0,Petty-dwarf roots,Limpë,Point 000488,Samwise "Sam" Gamgee,Hobbit,38.16,488
2/27/2015,19:37:59,Gandalf the Grey,Human,Snaga,8,4,4,8,9,Cram,Limpë,Point 000489,Samwise "Sam" Gamgee,Hobbit,51.8,489
2/27/2015,19:18:9,Legolas,Elf,Lurtz,11,2,4,0,2,Honey-cake,Miruvor,Point 000490,Samwise "Sam" Gamgee,Hobbit,54.41,490
2/27/2015,1:16:53,Gimli,Dwarf,Sharku,0,14,4,4,9,Honey-cake,Ent-draught,Point 000491,Samwise "Sam" Gamgee,Hobbit,89.16,491
2/27/2015,8:9:10,Aragorn (Strider),Human,Mauhúr,10,0,4,2,4,Petty-dwarf roots,Miruvor,Point 000492,Samwise "Sam" Gamgee,Hobbit,38.71,492
2/27/2015,4:30:1,Boromir, Human,Lugdush,12,11,4,4,0,Lembas,Limpë,Point 000493,Samwise "Sam" Gamgee,Hobbit,59.92,493
2/27/2015,16:7:19,Meriadoc "Merry" Brandybuck,Hobbit,Sharku,8,6,4,6,6,Petty-dwarf roots,Ent-draught,Point 000494,Samwise "Sam" Gamgee,Hobbit,43.67,494
2/27/2015,20:35:39,Peregrin "Pippin" Took,Hobbit,Gorbag,3,6,4,5,1,Cram,Limpë,Point 000495,Samwise "Sam" Gamgee,Hobbit,35.76,495
2/28/2015,20:2:36,Frodo Baggins,Hobbit,Snaga,1,0,4,8,6,Honey-cake,Ent-draught,Point 000496,Aragorn (Strider),Human,43.86,496
2/28/2015,15:16:1,Samwise "Sam" Gamgee,Hobbit,Sharku,12,14,4,2,9,Lembas,Miruvor,Point 000497,Aragorn (Strider),Human,83.7,497
2/28/2015,18:55:39,Gandalf the Grey,Human,Shagrat,5,9,4,0,0,Lembas,Miruvor,Point 000498,Aragorn (Strider),Human,54.21,498
2/28/2015,8:3:21,Legolas,Elf,Gothmog,11,1,4,7,7,Petty-dwarf roots,Ent-draught,Point 000499,Aragorn (Strider),Human,69.91,499
2/28/2015,21:22:18,Gimli,Dwarf,Gothmog,8,4,4,7,0,Petty-dwarf roots,Limpë,Point 000500,Aragorn (Strider),Human,41.29,500
2/28/2015,3:26:51,Aragorn (Strider),Human,Sharku,5,9,4,7,0,Honey-cake,Ent-draught,Point 000501,Aragorn (Strider),Human,88.83,501
2/28/2015,8:37:9,Boromir, Human,Guritz,11,0,4,3,0,Cram,Miruvor,Point 000502,Aragorn (Strider),Human,86.12,502
2/28/2015,0:32:30,Meriadoc "Merry" Brandybuck,Hobbit,Murgash,3,4,4,8,6,Petty-dwarf roots,Miruvor,Point 000503,Aragorn (Strider),Human,94.72,503
2/28/2015,6:9:29,Peregrin "Pippin" Took,Hobbit,Shagrat,10,12,4,1,9,Petty-dwarf roots,Limpë,Point 000504,Aragorn (Strider),Human,6.48,504
3/1/2015,14:4:44,Frodo Baggins,Hobbit,Snaga,7,13,3,4,8,Lembas,Miruvor,Point 000505,Gimli,Dwarf,68.03,505
3/1/2015,14:55:34,Samwise "Sam" Gamgee,Hobbit,Lugdush,6,10,3,6,8,Petty-dwarf roots,Limpë,Point 000506,Gimli,Dwarf,88.69,506
3/1/2015,11:52:20,Gandalf the Grey,Human,Lurtz,9,1,3,2,4,Lembas,Ent-draught,Point 000507,Gimli,Dwarf,4.0,507
3/1/2015,17:35:51,Legolas,Elf,Lugdush,3,13,3,0,4,Petty-dwarf roots,Ent-draught,Point 000508,Gimli,Dwarf,34.41,508
3/1/2015,9:10:11,Gimli,Dwarf,Sharku,0,9,3,1,0,Petty-dwarf roots,Limpë,Point 000509,Gimli,Dwarf,19.74,509
3/1/2015,16:29:33,Aragorn (Strider),Human,Grishnákh,9,4,3,6,2,Petty-dwarf roots,Miruvor,Point 000510,Gimli,Dwarf,6.9,510
3/1/2015,11:31:17,Boromir, Human,Lugdush,3,8,3,6,3,Honey-cake,Limpë,Point 000511,Gimli,Dwarf,75.9,511
3/1/2015,11:14:59,Meriadoc "Merry" Brandybuck,Hobbit,Lugdush,2,3,3,6,7,Petty-dwarf roots,Ent-draught,Point 000512,Gimli,Dwarf,12.74,512
3/1/2015,14:12:49,Peregrin "Pippin" Took,Hobbit,Snaga,1,0,3,5,3,Lembas,Miruvor,Point 000513,Gimli,Dwarf,56.13,513
3/2/2015,22:37:37,Frodo Baggins,Hobbit,Gorbag,12,14,3,3,5,Petty-dwarf roots,Limpë,Point 000514,Gimli,Dwarf,10.79,514
3/2/2015,15:4:29,Samwise "Sam" Gamgee,Hobbit,Snaga,2,5,3,6,8,Honey-cake,Limpë,Point 000515,Gimli,Dwarf,67.4,515
3/2/2015,16:14:9,Gandalf the Grey,Human,Lurtz,7,13,3,8,7,Honey-cake,Ent-draught,Point 000516,Gimli,Dwarf,68.45,516
3/2/2015,6:56:17,Legolas,Elf,Lugdush,7,4,3,0,6,Petty-dwarf roots,Limpë,Point 000517,Gimli,Dwarf,59.96,517
3/2/2015,19:13:23,Gimli,Dwarf,Gothmog,10,0,3,1,1,Lembas,Limpë,Point 000518,Gimli,Dwarf,52.77,518
3/2/2015,14:32:27,Aragorn (Strider),Human,Mauhúr,11,12,3,5,7,Petty-dwarf roots,Limpë,Point 000519,Gimli,Dwarf,72.59,519
3/2/2015,17:58:17,Boromir, Human,Shagrat,12,3,3,0,8,Cram,Limpë,Point 000520,Gimli,Dwarf,26.25,520
3/2/2015,4:19:28,Meriadoc "Merry" Brandybuck,Hobbit,Lurtz,14,13,3,7,2,Lembas,Ent-draught,Point 000521,Gimli,Dwarf,59.61,521
3/2/2015,21:13:21,Peregrin "Pippin" Took,Hobbit,Mauhúr,11,13,3,2,2,Lembas,Ent-draught,Point 000522,Gimli,Dwarf,76.18,522
3/3/2015,5:3:5,Frodo Baggins,Hobbit,Guritz,11,1,4,5,2,Cram,Miruvor,Point 000523,Frodo Baggins,Hobbit,44.32,523
3/3/2015,14:15:10,Samwise "Sam" Gamgee,Hobbit,Shagrat,5,6,4,6,1,Honey-cake,Miruvor,Point 000524,Frodo Baggins,Hobbit,16.93,524
3/3/2015,17:29:47,Gandalf the Grey,Human,Murgash,4,12,4,6,4,Lembas,Limpë,Point 000525,Frodo Baggins,Hobbit,28.92,525
3/3/2015,20:6:39,Legolas,Elf,Gorbag,4,0,4,2,6,Cram,Limpë,Point 000526,Frodo Baggins,Hobbit,94.07,526
3/3/2015,7:6:18,Gimli,Dwarf,Guritz,0,9,4,1,9,Petty-dwarf roots,Limpë,Point 000527,Frodo Baggins,Hobbit,95.12,527
3/3/2015,14:28:14,Aragorn (Strider),Human,Gothmog,10,10,4,6,3,Lembas,Miruvor,Point 000528,Frodo Baggins,Hobbit,10.51,528
3/3/2015,21:50:53,Boromir, Human,Shagrat,14,1,4,1,9,Honey-cake,Limpë,Point 000529,Frodo Baggins,Hobbit,70.27,529
3/3/2015,1:21:34,Meriadoc "Merry" Brandybuck,Hobbit,Mauhúr,6,3,4,8,0,Petty-dwarf roots,Ent-draught,Point 000530,Frodo Baggins,Hobbit,1.23,530
3/3/2015,6:37:37,Peregrin "Pippin" Took,Hobbit,Lugdush,7,5,4,2,7,Lembas,Ent-draught,Point 000531,Frodo Baggins,Hobbit,92.24,531
3/4/2015,9:23:30,Frodo Baggins,Hobbit,Lurtz,4,11,2,2,6,Lembas,Miruvor,Point 000532,Samwise "Sam" Gamgee,Hobbit,75.69,532
3/4/2015,14:37:45,Samwise "Sam" Gamgee,Hobbit,Murgash,13,5,2,1,8,Cram,Limpë,Point 000533,Samwise "Sam" Gamgee,Hobbit,8.68,533
3/4/2015,11:23:42,Gandalf the Grey,Human,Snaga,5,2,2,7,7,Cram,Limpë,Point 000534,Samwise "Sam" Gamgee,Hobbit,33.26,534
3/4/2015,21:41:50,Legolas,Elf,Shagrat,3,9,2,0,2,Honey-cake,Limpë,Point 000535,Samwise "Sam" Gamgee,Hobbit,64.74,535
3/4/2015,3:15:10,Gimli,Dwarf,Sharku,2,10,2,6,3,Lembas,Miruvor,Point 000536,Samwise "Sam" Gamgee,Hobbit,34.89,536
3/4/2015,17:50:25,Aragorn (Strider),Human,Snaga,6,2,2,0,5,Cram,Limpë,Point 000537,Samwise "Sam" Gamgee,Hobbit,1.38,537
3/4/2015,14:45:39,Boromir, Human,Gothmog,5,5,2,0,4,Lembas,Ent-draught,Point 000538,Samwise "Sam" Gamgee,Hobbit,6.75,538
3/4/2015,13:26:52,Meriadoc "Merry" Brandybuck,Hobbit,Snaga,12,4,2,2,5,Lembas,Miruvor,Point 000539,Samwise "Sam" Gamgee,Hobbit,25.67,539
3/4/2015,22:18:9,Peregrin "Pippin" Took,Hobbit,Guritz,0,3,2,2,2,Cram,Limpë,Point 000540,Samwise "Sam" Gamgee,Hobbit,37.73,540
3/5/2015,1:36:2,Frodo Baggins,Hobbit,Sharku,6,6,2,3,5,Honey-cake,Limpë,Point 000541,Aragorn (Strider),Human,66.37,541
3/5/2015,16:21:33,Samwise "Sam" Gamgee,Hobbit,Lugdush,6,6,2,6,7,Cram,Miruvor,Point 000542,Aragorn (Strider),Human,22.28,542
3/5/2015,11:32:33,Gandalf the Grey,Human,Murgash,10,6,2,0,4,Cram,Ent-draught,Point 000543,Aragorn (Strider),Human,87.76,543
3/5/2015,6:32:17,Legolas,Elf,Gothmog,10,6,2,7,7,Cram,Ent-draught,Point 000544,Aragorn (Strider),Human,51.48,544
3/5/2015,18:14:39,Gimli,Dwarf,Lurtz,13,11,2,8,9,Petty-dwarf roots,Ent-draught,Point 000545,Aragorn (Strider),Human,8.45,545
3/5/2015,9:13:12,Aragorn (Strider),Human,Lugdush,7,3,2,3,0,Cram,Miruvor,Point 000546,Aragorn (Strider),Human,66.97,546
3/5/2015,19:3:55,Boromir, Human,Gothmog,14,10,2,8,9,Lembas,Miruvor,Point 000547,Aragorn (Strider),Human,44.19,547
3/5/2015,4:22:40,Meriadoc "Merry" Brandybuck,Hobbit,Shagrat,1,4,2,8,0,Honey-cake,Limpë,Point 000548,Aragorn (Strider),Human,78.72,548
3/5/2015,4:52:25,Peregrin "Pippin" Took,Hobbit,Sharku,0,1,2,8,7,Cram,Ent-draught,Point 000549,Aragorn (Strider),Human,71.66,549
3/6/2015,21:33:11,Frodo Baggins,Hobbit,Sharku,2,3,2,3,4,Petty-dwarf roots,Miruvor,Point 000550,Gandalf the Grey,Human,98.5,550
3/6/2015,18:25:31,Samwise "Sam" Gamgee,Hobbit,Grishnákh,8,5,2,2,9,Honey-cake,Limpë,Point 000551,Gandalf the Grey,Human,66.56,551
3/6/2015,16:40:29,Gandalf the Grey,Human,Gorbag,1,3,2,6,6,Lembas,Limpë,Point 000552,Gandalf the Grey,Human,89.48,552
3/6/2015,3:32:15,Legolas,Elf,Sharku,13,9,2,7,5,Lembas,Miruvor,Point 000553,Gandalf the Grey,Human,28.71,553
3/6/2015,15:37:25,Gimli,Dwarf,Snaga,1,7,2,4,2,Honey-cake,Ent-draught,Point 000554,Gandalf the Grey,Human,99.13,554
3/6/2015,3:36:16,Aragorn (Strider),Human,Sharku,0,14,2,5,8,Petty-dwarf roots,Miruvor,Point 000555,Gandalf the Grey,Human,92.38,555
3/6/2015,1:7:17,Boromir, Human,Lurtz,13,9,2,5,9,Honey-cake,Limpë,Point 000556,Gandalf the Grey,Human,89.23,556
3/6/2015,8:10:40,Meriadoc "Merry" Brandybuck,Hobbit,Guritz,5,3,2,4,2,Petty-dwarf roots,Ent-draught,Point 000557,Gandalf the Grey,Human,85.85,557
3/6/2015,13:43:54,Peregrin "Pippin" Took,Hobbit,Guritz,11,9,2,6,1,Petty-dwarf roots,Limpë,Point 000558,Gandalf the Grey,Human,83.8,558
3/7/2015,3:38:36,Frodo Baggins,Hobbit,Lugdush,3,2,1,5,5,Cram,Ent-draught,Point 000559,Samwise "Sam" Gamgee,Hobbit,88.85,559
3/7/2015,19:51:47,Samwise "Sam" Gamgee,Hobbit,Lurtz,6,5,1,0,7,Lembas,Ent-draught,Point 000560,Samwise "Sam" Gamgee,Hobbit,10.97,560
3/7/2015,5:31:18,Gandalf the Grey,Human,Mauhúr,14,9,1,6,9,Cram,Ent-draught,Point 000561,Samwise "Sam" Gamgee,Hobbit,60.6,561
3/7/2015,9:53:35,Legolas,Elf,Guritz,5,7,1,1,5,Petty-dwarf roots,Miruvor,Point 000562,Samwise "Sam" Gamgee,Hobbit,20.6,562
3/7/2015,8:6:21,Gimli,Dwarf,Mauhúr,5,9,1,7,9,Petty-dwarf roots,Miruvor,Point 000563,Samwise "Sam" Gamgee,Hobbit,80.29,563
3/7/2015,16:11:43,Aragorn (Strider),Human,Lurtz,11,3,1,4,4,Petty-dwarf roots,Ent-draught,Point 000564,Samwise "Sam" Gamgee,Hobbit,95.72,564
3/7/2015,19:41:11,Boromir, Human,Gothmog,1,6,1,6,2,Honey-cake,Limpë,Point 000565,Samwise "Sam" Gamgee,Hobbit,13.96,565
3/7/2015,8:36:59,Meriadoc "Merry" Brandybuck,Hobbit,Guritz,11,11,1,0,9,Cram,Miruvor,Point 000566,Samwise "Sam" Gamgee,Hobbit,71.98,566
3/7/2015,15:24:13,Peregrin "Pippin" Took,Hobbit,Sharku,8,11,1,4,1,Lembas,Miruvor,Point 000567,Samwise "Sam" Gamgee,Hobbit,29.09,567
3/8/2015,0:35:23,Frodo Baggins,Hobbit,Lugdush,13,12,4,8,2,Honey-cake,Miruvor,Point 000568,Gandalf the Grey,Human,76.94,568
3/8/2015,5:1:58,Samwise "Sam" Gamgee,Hobbit,Sharku,8,1,4,8,1,Lembas,Miruvor,Point 000569,Gandalf the Grey,Human,17.07,569
3/8/2015,13:59:5,Gandalf the Grey,Human,Gothmog,11,12,4,2,6,Petty-dwarf roots,Limpë,Point 000570,Gandalf the Grey,Human,15.87,570
3/8/2015,11:50:36,Legolas,Elf,Lurtz,4,7,4,8,1,Petty-dwarf roots,Limpë,Point 000571,Gandalf the Grey,Human,27.29,571
3/8/2015,19:46:13,Gimli,Dwarf,Mauhúr,7,4,4,8,8,Lembas,Ent-draught,Point 000572,Gandalf the Grey,Human,48.12,572
3/8/2015,17:15:16,Aragorn (Strider),Human,Gothmog,13,10,4,4,5,Cram,Limpë,Point 000573,Gandalf the Grey,Human,47.89,573
3/8/2015,0:12:54,Boromir, Human,Lugdush,6,9,4,3,9,Honey-cake,Ent-draught,Point 000574,Gandalf the Grey,Human,94.25,574
3/8/2015,18:36:48,Meriadoc "Merry" Brandybuck,Hobbit,Sharku,4,10,4,6,0,Lembas,Limpë,Point 000575,Gandalf the Grey,Human,96.22,575
3/8/2015,14:41:48,Peregrin "Pippin" Took,Hobbit,Lurtz,9,8,4,2,7,Honey-cake,Ent-draught,Point 000576,Gandalf the Grey,Human,94.95,576
3/9/2015,17:9:12,Frodo Baggins,Hobbit,Sharku,4,3,2,5,9,Petty-dwarf roots,Limpë,Point 000577,Gandalf the Grey,Human,59.67,577
3/9/2015,1:0:10,Samwise "Sam" Gamgee,Hobbit,Snaga,0,2,2,2,3,Lembas,Ent-draught,Point 000578,Gandalf the Grey,Human,50.87,578
3/9/2015,11:8:50,Gandalf the Grey,Human,Guritz,4,0,2,8,7,Honey-cake,Ent-draught,Point 000579,Gandalf the Grey,Human,81.05,579
3/9/2015,20:41:22,Legolas,Elf,Grishnákh,1,1,2,7,6,Petty-dwarf roots,Limpë,Point 000580,Gandalf the Grey,Human,26.58,580
3/9/2015,8:34:40,Gimli,Dwarf,Shagrat,13,14,2,3,0,Lembas,Miruvor,Point 000581,Gandalf the Grey,Human,96.94,581
3/9/2015,11:27:24,Aragorn (Strider),Human,Gothmog,11,4,2,4,9,Honey-cake,Ent-draught,Point 000582,Gandalf the Grey,Human,88.81,582
3/9/2015,0:24:21,Boromir, Human,Shagrat,6,11,2,2,4,Lembas,Limpë,Point 000583,Gandalf the Grey,Human,55.48,583
3/9/2015,21:40:6,Meriadoc "Merry" Brandybuck,Hobbit,Gorbag,0,2,2,8,8,Lembas,Limpë,Point 000584,Gandalf the Grey,Human,91.37,584
3/9/2015,8:52:43,Peregrin "Pippin" Took,Hobbit,Sharku,10,2,2,1,9,Lembas,Limpë,Point 000585,Gandalf the Grey,Human,45.71,585
3/10/2015,8:41:36,Frodo Baggins,Hobbit,Gothmog,14,6,3,4,5,Lembas,Limpë,Point 000586,Gandalf the Grey,Human,41.17,586
3/10/2015,22:6:9,Samwise "Sam" Gamgee,Hobbit,Grishnákh,6,12,3,8,8,Cram,Limpë,Point 000587,Gandalf the Grey,Human,54.45,587
3/10/2015,2:4:35,Gandalf the Grey,Human,Gothmog,11,9,3,8,1,Cram,Limpë,Point 000588,Gandalf the Grey,Human,49.73,588
3/10/2015,21:13:1,Legolas,Elf,Lurtz,12,9,3,7,2,Lembas,Limpë,Point 000589,Gandalf the Grey,Human,56.33,589
3/10/2015,0:17:57,Gimli,Dwarf,Grishnákh,3,0,3,1,3,Honey-cake,Limpë,Point 000590,Gandalf the Grey,Human,46.23,590
3/10/2015,22:53:2,Aragorn (Strider),Human,Guritz,9,14,3,3,4,Lembas,Ent-draught,Point 000591,Gandalf the Grey,Human,56.04,591
3/10/2015,5:5:2,Boromir, Human,Lugdush,1,8,3,3,9,Cram,Miruvor,Point 000592,Gandalf the Grey,Human,93.67,592
3/10/2015,10:55:55,Meriadoc "Merry" Brandybuck,Hobbit,Mauhúr,0,10,3,3,8,Petty-dwarf roots,Miruvor,Point 000593,Gandalf the Grey,Human,92.27,593
